Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc588>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc4e0>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: True	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc668>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc4e0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc550>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
Infected person ID: <person.Person object at 0x1028cc588>	 Contacted person ID: <person.Person object at 0x1028cc6a0>	 Did infect: False	 Contact person vaccinated: False	 Contact person infected: False
